Password,Length,Has_Uppercase,Has_Digits,Has_Special
",zmWO7Wuc<7@_ora_,",18,1,1,1
^ad$lG@sab,10,1,1,1
knsz5573ko,10,0,1,0
ooafnlmhqyuoxkqjkbufkjg,23,0,0,0
whabwdasgscetwlrka,18,0,0,0
y[0JSE&WcyX,11,1,1,1
-jj=@n}o,8,0,0,1
GsBd1QFlryZKt1qukAkRV,21,1,1,0
jdolejsmvvqqmybzlwwcl,21,0,0,0
mzmatueangvlqicsh,17,0,0,0
pahC}Wj=,8,1,0,1
oyysih>.6_%6wz;u,16,0,1,1
CcDCeBKeXPCcLLQ,15,1,0,0
"pZnw%),@EYbk",12,1,0,1
*9-ja)rE]fjYQVb_^^|W7$E4,24,1,1,1
PyjRODEBaqlMykcLO,17,1,0,0
e=sms!m/c]>,11,0,0,1
zywknnkbzadzfzddlgkolz,22,0,0,0
"i!;+p)OS*)hnzI,u_",17,1,1,1
l@=*$cr(qp{[.,13,0,0,1
NhvxoANet,9,1,1,0
mNdMJKT2lJyA82Wjml,18,1,1,0
"?h:sug@c,.",10,0,0,1
aVVsyIHpgEsjZn,14,1,0,0
oszfcme6n7njeg151hio3xud,24,0,1,0
"7&A]|&7,B?|FiRTO6",17,1,1,1
ls[/[g/WxdctV%GA,16,1,0,1
p;$[ik+mueh}-_#>,16,0,0,1
G@/x_T8|Wcm,11,1,1,1
xbOtsoPZbEnwTtXIUhW,19,1,0,0
xsw2nfxnofl4yi,14,0,1,0
Bok@4W43v)RbN/Cc/a,18,1,1,1
epheqallwvdugdjxaholgh,22,0,0,0
PQqjXvJaPXdpSsHyza,18,1,0,0
ZiGUzuTH&=Vk1vfa|K$,19,1,1,1
AMgoXaVRVjsDWaXC,16,1,0,0
;(V>+_nq{}y,11,1,0,1
";%j$&pxb!0vz@bk0i,^5",20,0,1,1
s5z2oxharj6yqovuyjz,19,0,1,0
}6)X]F1lrFZ.V|#*),17,1,1,1
TV;yzuE=quf;!_(,15,1,1,1
_odnyh%22i{f<}n,15,0,1,1
z0koofngwtlvamc504bzos,22,0,1,0
i31wcuzytummjtntnq,18,0,1,0
"n#oo,<i&e@b[ck",14,0,1,1
piqpjiwokphgajvlv,17,0,0,0
fyySBfoFh9ZjHDY,15,1,1,0
CQaJT2nWUko,11,1,1,0
")^b@q(oq,<:,**v<2j(1zk,",23,0,1,1
ebwswmzrfaerusngbrh,19,0,0,0
LqLzOBUWE6V5,12,1,1,0
<m[u%>hk,8,0,0,1
MENacAAOHnDLovkN,16,1,0,0
vjd&8*B1nWcSw},14,1,1,1
TwkpyGaCYWAeNl,14,1,0,0
tXzJfEsor0L8WudqkVY,19,1,1,0
nc87srp60t24ivb8ita,19,0,1,0
gecqw8tpfk0utt02kz,18,0,1,0
tETttQvGkZCyWru,15,1,0,0
eoleaharmqoylivetm,18,0,0,0
AU]|TU.efQ,10,1,1,1
sbjwppwvmiqler,14,0,0,0
PEFfULLDtS,10,1,0,0
rjndeecwesngqhhwfw,18,0,0,0
.*r[Ph|a:AK|-*l^R|,18,1,0,1
$!u.h7}h<p?r,12,0,1,1
"c,w=bocS*}^_!aEztY=",19,1,0,1
HF*(XE>OO!.;7y7}]ZoTMZo_,24,1,1,1
vXgFtZaVIDo,11,1,1,0
kcztxpu6jv97,12,0,1,0
blladecweigvpwwf,16,0,0,0
$F+q<oN(;%5}G|VoD=vU#,21,1,1,1
hr+e1NuVe;m+,12,1,1,1
[qIgOXe_Z|EG_noF-lc-wY@,23,1,0,1
/_{4Ne]k_h(A[YS,15,1,1,1
"z>[]-h%|&}/,",12,0,0,1
FtWYWBjw5Qr2,12,1,1,0
xU(szFaC!p%,11,1,1,1
YtiZuuHkPRBYvoqPkumKwH,22,1,0,0
PHAfecYD,8,1,1,0
Bq;Oi}P&n<>XEdg,15,1,0,1
MdGXLAALjDEzf,13,1,0,0
"b,zPdH(|)dsXEMxe(^{S",20,1,0,1
"Uym#Wc=-%OMa/,[su_nmj",21,1,0,1
%10+0|?8+dejo_u[kw,18,0,1,1
uyyxvqtbmmq,11,0,0,0
=]);-<)up&+/bmnqh,17,0,0,1
{$}gY@?(vSXGRI,14,1,0,1
nzqnnnnxbgsfhzfll,17,0,0,0
lcumgyekzzgnyikeuirjo,21,0,0,0
c>+c_?d!b;:v7@8hkj/vt,21,0,1,1
ubsz83bhr95yc3jk3di6,20,0,1,0
knynsftbn,9,0,0,0
"[@$s_G,MUvT$vtxi(Pbmpq<",23,1,0,1
erelgh!t,8,0,0,1
wb<>(-a:r,9,0,0,1
ada97esiwpdb0eltyj6d,20,0,1,0
"+axk$ozb&.a,*",13,0,1,1
}a0:/{riwm%!|}3%}<{a_-!,23,0,1,1
"sf10t@o,.r$W",12,1,1,1
b{_vjio}ll|tb,13,0,0,1
jlcecbnmoyxuuac,15,0,0,0
cdgcot8mg4ympdv5rjbkigv,23,0,1,0
lSHSqMeidHCprbfy,16,1,0,0
"k)uin,v}?sm",11,0,0,1
sTDMlFCBdexztb,14,1,0,0
dnu{sag;,8,0,0,1
LYwSgGgxqZFmcFhsfN,18,1,0,0
p[tBbAIAwHA[,12,1,0,1
ZT5vtJhpAAZXUYlEJ,17,1,1,0
LrglvcrsDOVu,12,1,0,0
^!n{#_i@s@uamj#,15,0,0,1
"nl#fgnspl{*e*&k|,&)",19,0,0,1
pjQwJEydtY61TM,14,1,1,0
"|xNW!w,.tK[y",12,1,0,1
6i5sl2rqs1u37kff3ypz66r9,24,0,1,0
t>$s:Vzzp,9,1,1,1
r!zm$^)a/:[i:l${sq;omm,22,0,0,1
D_(ibJbL-!zP{W<*gaM,19,1,0,1
<wIv+^WgVW,10,1,0,1
QWHARXoTcFDvFXeYKYAB,20,1,0,0
g3x00f31vwm0vmgbzmzsn4o,23,0,1,0
7$m.ct801qL-C[8zkP^B4kq:,24,1,1,1
tw7}urikeqo1p{fuyv88#t,22,0,1,1
kxvlrdfvyazzxad,15,0,0,0
"{c,?fm=&sjlfo:",14,0,1,1
&.{c_-^+#]!,11,0,1,1
UjmemJCjiROntAZvZDDspeTp,24,1,0,0
r8gpddeue7n61nsoqhfwctlf,24,0,1,0
smSMKurqs,9,1,0,0
"qTT,PPMu#>)pXRBKRrFze",21,1,0,1
xupkpbvtkhapproabltgghg,23,0,0,0
HVSZzdAHaf,10,1,0,0
LjDvAsjETuCrpIz,15,1,0,0
):wm#2{g.p{&,12,0,1,1
)0ldWd]{ig6.s$g0B6n%E,21,1,1,1
ovomdmxbbph3j5yn9gcpip8,23,0,1,0
y$th}c]6}g&.0{*+.,17,0,1,1
geswxaaterxf,12,0,0,0
89FVPEeTMrNDa5CVn,17,1,1,0
xe|#{sk5|(4|56p2s@,18,0,1,1
awzufiuwk,9,0,0,0
!wp|]/(!yq,10,0,0,1
tIsgEeHhUMiScYhrkuotWpn,23,1,0,0
MsbT.:yP;5FS+>hpYy,18,1,1,1
m.:f[g+s+8q)6w];,16,0,1,1
"^uHKqAS,ir",10,1,1,1
ixoobhkhipj,11,0,0,0
ijP2I5fbXBU,11,1,1,0
dxzuRDTEnP,10,1,1,0
p3/$=Nz>=}-T,12,1,1,1
OSW26TvhCcYCyqIiISaA11h,23,1,1,0
ZpNisggzUJm1,12,1,1,0
rXwbvnIPrZpOnxgd,16,1,0,0
1IkI5U.QDjL&S:V[C$05<,21,1,1,1
abmbggej#@tih4au+z,18,0,1,1
DEw04hKAleZBBeM4r,17,1,1,0
e%sibz:#nstp>!q%*!eo,20,0,0,1
sz$gStWU>^S;|DNW]aj,19,1,1,1
$tfux^b+{:x,11,0,0,1
48np9boy3o,10,0,1,0
kkqu3ks1cto,11,0,1,0
1@*#pmj@_}g;cw-)#1un,20,0,1,1
VnUtteI9UTth5Wt68PR,19,1,1,0
crdwnxoeo,9,0,0,0
Zhbw30Xt0NKqSFCh3,17,1,1,0
iai)tb+->b,10,0,0,1
t+!DiU6oze|A,12,1,1,1
wROW8JRpI1F0A0W,15,1,1,0
#^=q-sxs^@K2x2,14,1,1,1
mev.wu:!bny+k#,14,0,0,1
ohcnqers,8,0,0,0
LFuvVBdGUZYSf,13,1,0,0
ngYSTd9iyKp0DRxTSj,18,1,1,0
bbzsdajwvs,10,0,0,0
7fgS4V9u,8,1,1,0
QWKpyeuQuduOOAhzdM,18,1,0,0
nxn%FDu?l.@TtsNAl$ljiC#,23,1,0,1
_}t*f>*/r?rp(n;)!_ybb<q;,24,0,0,1
PqRewwYnYxpqS2pG7P9w4,21,1,1,0
c&Cyq?acVV}p,12,1,1,1
tfg^|(-*z!+a?%[&h@gj,20,0,0,1
4dg>o6*+j.9xt%hd,16,0,1,1
"?s):z//%ccNJs:sMS@^Y,A",22,1,0,1
lR4bP9cPn4,10,1,1,0
o=y@_b&Ai-TIogi,15,1,1,1
scrvlcrcakcbdidnb,17,0,0,0
iLmXTdeIEaZsLoSDtpSqIw,22,1,0,0
AtGeYGGUbg,10,1,0,0
JsjTbwZr,8,1,1,0
1k7tW6m5YqjYBkkm8,17,1,1,0
"m.i<><y,>&x}=[",14,0,0,1
smpdkauvsocscvjymkkyxmo,23,0,0,0
o9ryqbn64iv964xe7yq17,21,0,1,0
u5arvnvs,8,0,1,0
aduadhkaiuzognj,15,0,0,0
k]b=q+jjzwvq-;gv,16,0,0,1
hntjpugtyunqsgemhofrkoz,23,0,0,0
eWI)Dx/EDFUIb9DD+y5,19,1,1,1
mouNJthntZQiQJxSBuDUnemc,24,1,0,0
@h3PdN}oMr,10,1,1,1
+<ka(TJLij,10,1,0,1
67JAYqsgaMUNqQ,14,1,1,0
uHIaVKXSqODJtPicCZffU,21,1,0,0
zrk=f0q[t,9,0,1,1
ygypi4o6rkuus5z0avg,19,0,1,0
jh%u7p^8}a1g:b,14,0,1,1
zlekthmvwcipbegxeylhilj,23,0,0,0
WAvC[h;@|@j(RRhcpsu|._!,23,1,0,1
ykyA.Drz4t$bOIFR$;{}sSf,23,1,1,1
v@<we#mqd^%a=k{,15,0,0,1
r9(5&4s2es((dx,14,0,1,1
x9dqa7ux6ck11knqjn37xj5,23,0,1,0
BABtcSRylDgF,12,1,0,0
WSC7qtPWk6V9TRYn9,17,1,1,0
pcf3r2skyykjro,14,0,1,0
-O_Em%$d!fN{B<VR,16,1,0,1
"@&?vo,.uzf>f:*",14,0,0,1
"wRBds@p88]xuP,%::{29q",21,1,1,1
?;psjbkicyyuol.^9t,18,0,1,1
kj@q/pzw%laorud+e]i.o>},23,0,0,1
yfjbgiuawjdwgojxwopgs,21,0,0,0
#k?k@>pb?e,10,0,0,1
kuparoLdkfR,11,1,0,0
Ui8uULuMLfYlkBXPm,17,1,1,0
i{}$rri]7n48;qo=;6-,19,0,1,1
RvXwlSwmZyjgZIwZopslvan,23,1,0,0
cctzoempotbijhzly,17,0,0,0
JQblhjqYYbW,11,1,0,0
7mPw0xyqIcBiC5,14,1,1,0
ce;qpgylm?veat<.;l,18,0,0,1
ctJjt?5Ff;=g8&Y,15,1,1,1
!g{Ys&s@T!Rc{M[P(>J.$,21,1,0,1
GaS_J%pGbY0E/l6,15,1,1,1
w.6>8v^n=|9(,12,0,1,1
rnqrwawpidejjpcmtt,18,0,0,0
F4.78K+x8fx5#Js0]E;6,20,1,1,1
5pzw_vx<&le=*e|,15,0,1,1
".Ab,[?j/:S}$l?u",15,1,1,1
n[ta!i@ccy-=#)(ry)b]]d#|,24,0,0,1
"(3oecf,1w(o_+",13,0,1,1
txpbkihoqxbooj,14,0,0,0
mdiopi6sjcqf6lits7qm78,22,0,1,0
xngdi08l,8,0,1,0
ysfoopgolkrawqenn,17,0,0,0
tNhCL_yart;]tD,14,1,1,1
DM/;si9GoW,10,1,1,1
utrs)fHrc:6$@M>36z,18,1,1,1
AgpKPvJRDR,10,1,0,0
|;ztc$hvu+e%;{m,15,0,0,1
qm%)pnhh(v]mq.%,15,0,0,1
oninuqsabvskblhbnohyvb,22,0,0,0
ZuqV9ZNg,8,1,1,0
EQ2MYiYkPqCsAG,14,1,1,0
6z54y2kj6iowllr8,16,0,1,0
#ad@}q&mi<LXQmABq!+)felm,24,1,0,1
4oVnKFq2o,9,1,1,0
cvh.!xr$d/s4bz,14,0,1,1
ofqjzhkxxaryhh,14,0,0,0
CJQVKF2dY1,10,1,1,0
F}TL@%}w?vpB*M_@,16,1,0,1
"0j#*;hkmf3,)f_#9^2",18,0,1,1
xmkrjlgoytekbsj,15,0,0,0
nuepc=_it/wlv4,14,0,1,1
tJAxtVdB1s7r,12,1,1,0
"+5^z9<+ht,?q277>f<1]3w",22,0,1,1
vvZFVqgcxt-,11,1,0,1
yajpgelc,8,0,0,0
.jrA+m+3]E,10,1,1,1
pibztfinixs,11,0,0,0
Afb]mIvHZAgGOvlC;n,18,1,0,1
@<i|&>f+n%,10,0,0,1
z?hi#rdff4dn+j2n/jo7c,21,0,1,1
e!yy}^q;([ysd_u,15,0,0,1
bxkultuguj9wlp9qz2h86,21,0,1,0
pYkUDqIOLK,10,1,0,0
o-?d&x]e5,9,0,1,1
"th})z},?z]avbwnj!",17,0,0,1
^@y$k?{)],9,0,0,1
cnKvhaaWIcPTTOoKKE,18,1,0,0
"%6nqk+=,#{+?4n0&j$z1rg{",23,0,1,1
"%BwHE!qpMi}{Q,r[z:LB",20,1,1,1
356b7attd4r,11,0,1,0
a7>EJNPZcJZ]O[,14,1,1,1
"-;}q:&}|!i[c]/n#,?awh",21,0,0,1
:<CIAxm}9:%bTVws&(Rj(,21,1,1,1
N9E2hSbTc8wgfowR,16,1,1,0
[_FT:*d=O$XxK,13,1,0,1
2!qn+$#?/7)!jigg(,17,0,1,1
jq%l%?ho%zok|_<b-jhlq,21,0,0,1
wWHuI4BDQ,9,1,1,0
vv]^6p=-z,9,0,1,1
mrqcfipkynqshedrzr,18,0,0,0
uifkgiva,8,0,0,0
QoifggcqrL,10,1,0,0
")BM}C9,fr=MA",12,1,1,1
1MX79RG9c,9,1,1,0
4racgxpgc9qoom8l8hpec8n,23,0,1,0
3684x5misw1nfjgbv2,18,0,1,0
zwh@f+pr71,10,0,1,1
meapxcmjoogfw,13,0,0,0
NMP*>_E<k,9,1,0,1
}f@|d[<8l]2is4$j,16,0,1,1
"C(+R]WB.UdMA^,t:N,aM|ed",23,1,0,1
S+P];OR#{)n7?,13,1,1,1
D7dqYKj2WQF,11,1,1,0
"N@s<XjmiYFf,}&",14,1,0,1
y$$eo?<ty*$[ojz&[,17,0,0,1
Cls[ZUdrDR[Zwe}tU{ESd;[Q,24,1,0,1
+lcc-[_60D+b,12,1,1,1
foua1-%fwtnn,12,0,1,1
^Qg5NKQM)=,10,1,1,1
WqILmztn,8,1,1,0
btmbsmjthqrip,13,0,0,0
"//K(Vq,AJFl]1eWm<+V}",20,1,1,1
WjwXLTPnOX,10,1,0,0
nmhkkdtetos,11,0,0,0
++E%MV&z(Z$s*I?+DMqq,20,1,0,1
txipqccupnyq,12,0,0,0
uh&%66(3xm^.]j,14,0,1,1
{tzzacx.)oga3hq{%wg,19,0,1,1
0vrxy2dkn6en8wbitn,18,0,1,0
c}?[&bf:pgg,11,0,0,1
v7E3pSp2e4,10,1,1,0
l9t3f7s6w84pvind2,17,0,1,0
g:jk*t$a];/f}_@>t*o^),21,0,0,1
jKfWbATnOJSOrRJEsc,18,1,0,0
6pxu1cupugc1mrhrvn,18,0,1,0
bggjjjctizvaxqwvarkmlgal,24,0,0,0
{o|a!/j%_+i[a*kqn/,18,0,0,1
!z}f7*ue{gz:]24z/b89*x(,23,0,1,1
AdQ]xEfklSuZ,12,1,0,1
VGIbytaStvCTCVijVFIT,20,1,0,0
zrosnZTjV,9,1,0,0
bBgpe5K+fpJPF%,14,1,1,1
@gb=uk[kw:|v,12,0,1,1
4s8zou11bbkd7zpb6gfc,20,0,1,0
DJOpJNJydSOG,12,1,0,0
V<S&teqOVbe=wSLxH(cJtL,22,1,0,1
3jtyqv0f4f,10,0,1,0
fywxhhx49,9,0,1,0
gtqypkcteicvkhb,15,0,0,0
RkUOkqLaegKQKu,14,1,0,0
dopl^#b(.):vc{x%vd,18,0,0,1
:aCwqcQXHb%<P&?*w,17,1,0,1
;2&$y*m}.d[(vnofa=yic_,22,0,1,1
ubfrhlagelptbagcr,17,0,0,0
Ztz9Hwd|p3o,11,1,1,1
wldyctxe,8,0,0,0
*crx!h.Ti*I&#Yn<>,17,1,1,1
U:iak9_?0axG-dGx@c!;,20,1,1,1
aILw6Mvdeih,11,1,1,0
ji9act2nw,9,0,1,0
eaorZeQA,8,1,0,0
wnrlozhg,8,0,0,0
yvbcXnclIlKvFvTivGllUuYc,24,1,0,0
q1gfgaywj1q9tamof78ib8,22,0,1,0
iNxEvfHkiKvSnxOQddrhioy,23,1,0,0
_U[Tdq=P.vX.tdjry?wXl&,22,1,0,1
GvDal3eb1,9,1,1,0
[#TW.Sg:02/cq|?t!1|C),21,1,1,1
ezy42te486x6,12,0,1,0
OzCXzpecMyelDFWnc,17,1,0,0
ydswxrwgsrfwvdnbsd,18,0,0,0
oHvGiRHEDCTuGGabHArgBwi,23,1,0,0
IFM3swaQir,10,1,1,0
"^:d%y&[y],<hx",13,0,0,1
ewqgrwwaexqevo,14,0,0,0
kgl-:@v.,8,0,1,1
.t!c{[o21mc=zzk*j+g,19,0,1,1
>c:(!-n@a{!cyk-;4o,18,0,1,1
}[<z:b*%q-v@=<-?!tb>,20,0,0,1
piot#w^9|rww%2^$$9+u,20,0,1,1
tjomweqlylu,11,0,1,0
UcdfIIkMS,9,1,1,0
c(Y>Q<[)Fv!Y8s]fi,17,1,1,1
evlxyf0eb18mhiwxeswvu2us,24,0,1,0
cvkxjyvndbfjobyegtwxsnjx,24,0,0,0
fk92_!gogyoi27)cloy(c^,22,0,1,1
GuPpe<+Dy%,10,1,0,1
"0,Vo}nm*A/yA/Ws/",16,1,1,1
:igov$vo.y}-{[sg@,17,0,0,1
KkklFFkWleulArsJYO3T,20,1,1,0
leetnhynbswcgyvhykrciy,22,0,0,0
WVAaxkemxG,10,1,0,0
_4-3]27>]bf&}_,14,0,1,1
Cu-Rv*Om,8,1,0,1
smiw?*y=]=o/%+,14,0,0,1
vPQtW%vbR!QjVA),15,1,0,1
@g?/az#=%w_e,12,0,0,1
>k+^zq@+],9,0,0,1
1z6edwgaj3uuhepq80dx,20,0,1,0
5dki4o0s9o2ej32,15,0,1,0
f()xci-(v=+*f?,14,0,0,1
wiTg<qnl(Tzli!b,15,1,0,1
bZGutfxdOvejqzak,16,1,0,0
C8ggSf8eVTH5rXNuh351929W,24,1,1,0
"du*po^ljj,a|[;;|-/[#z]j",23,0,0,1
q/jw5u/i$jr?;]k|mr,18,0,1,1
5w7w73bk487aqil6hi7d34v,23,0,1,0
"H<blb-CA/3y,<HK1cu",18,1,1,1
"d*boac_(n#!m(,u)|f)h",20,0,0,1
ksmpqlcsjjrwgyxblmeugyrr,24,0,0,0
mW^6F3#H@Z#uu1&pk4Sg,20,1,1,1
b^]+j4oipt.*>TQ0{>I4j}v>,24,1,1,1
rHPaKiVI,8,1,0,0
3x9VyA0g,8,1,1,0
40YUua1ypOFraI9rADYzQmMP,24,1,1,0
d1v1i7e>boJ0UPGN+ZhHx?8<,24,1,1,1
xi+%d%s-g|ax)m,14,0,0,1
m5b2fgagyb4litw6i1up79,22,0,1,0
dyB?{<u]E;-F|d?V,16,1,0,1
jd!yPO>.Xk%]W,13,1,0,1
olVYhJCr,8,1,0,0
rgjhqexquf05msnyt,17,0,1,0
@StkeUjkKJ/G@>lFi-,18,1,0,1
KvdIxdHayGvbrczzm,17,1,0,0
SMiGXVf#K#EZp]:KP=]ijQw,23,1,0,1
"ex|>,)l=r=n<j^t[mr,",19,0,0,1
BYFShpTWXrGeUezmYa,18,1,0,0
DyogkaSakMAVbjrE,16,1,0,0
%%[?_phh_(}[c[m@o,17,0,0,1
S2cFdFMwCTHeF3pg,16,1,1,0
t+ByVH).]jOgmMZJ,16,1,0,1
txhnzpolgseserjxsd,18,0,0,0
J9osIZElNBKeJzkKmJWhkz2p,24,1,1,0
phsexyvjqaoowtadhdwj,20,0,0,0
"^,um^y1xn0",10,0,1,1
VDUrS0WYT8l1VhmXpQiu,20,1,1,0
xvRZkTDEgDkcJFRZPYtYJ,21,1,0,0
;dy[t/i++h$r:{d=&)vi*w,22,0,0,1
N8iK7ni3zVPkru0H8ri977qt,24,1,1,0
XvoDPSBmLklVDsKwgKGPPbok,24,1,0,0
G[yNn_UV3VV{ua,14,1,1,1
#^u^eg-[talo&,13,0,0,1
UdUJmUlqshQ,11,1,0,0
nMZwMqv2J2bNjbC9HRfoINN,23,1,1,0
ixpurjlwappkn,13,0,0,0
D6gTcAunapQ,11,1,1,0
;xeyau#$/])?u=ub#,17,0,0,1
vs*f;!*};$uo:(#q}fe,19,0,0,1
*>?+}x==kj?-,12,0,0,1
"KgqXj,)&?,l",11,1,1,1
57i6gj66j5edbap7,16,0,1,0
{t:rhy/?.;-nn#w,15,0,0,1
lnjzftqt,8,0,0,0
-c*pf=wsz:h/>^kae-e,19,0,1,1
/v2b^-6:xws<07i*z,17,0,1,1
goY)Wkz%MR<2t}@,15,1,1,1
SD[1T2v|,8,1,1,1
"H!FD,@x,EAgOXLfPZLO",19,1,0,1
<ufs[@yj_e(xu)f,15,0,0,1
kyFLzUwd,8,1,0,0
yanmgaovncwqiwhnjebcwcvs,24,0,0,0
-cY?O>ze2ou,11,1,1,1
s^/@h*bnwhti,12,0,0,1
cMVEgqmVekk,11,1,0,0
q0clucd0,8,0,1,0
1T0hFxDC,8,1,1,0
ili|@ox$gvh)(o!s*}][,20,0,0,1
(x6qw0fe:,9,0,1,1
1k7HJZxFYcaLScHzWIJ3,20,1,1,0
tWPsssGDi,9,1,0,0
YBmJhppKgFzGzYfDsNN,19,1,0,0
f[3}7]1(z9i=$v[t,16,0,1,1
wvCe^HsVRsMo+G{Mgru,19,1,0,1
vLO_!Sbo)Q,10,1,0,1
qavQ}&>u;Eyw,12,1,0,1
cekdqyilmfrpxszahqlvcq,22,0,0,0
"[*|=<kw,bgru.(rbvhpw&",21,0,0,1
phwuutbpsdapltodgwsai,21,0,0,0
*X./O+spI$@?,12,1,0,1
t^<CfH-X/:,10,1,0,1
HCIbbOncVd,10,1,0,0
)n?c@i[@/%w^x=%,15,0,0,1
MvYDrwDyvZPUeifUt,17,1,0,0
ofhziiadofqgtaegfzc,19,0,0,0
qa*^?=3g:9f=.ys1t}*zj,21,0,1,1
mQ}VB{npRVp)Mz>5V71LA%,22,1,1,1
gjpgehkoyx,10,0,0,0
i^nld7gepld;z,13,0,1,1
xtxv/;Sjg:]gtcEdnb!|@,21,1,0,1
.mrsBL)KtUPcz]xJ]b,18,1,0,1
qojcljgbqfrdrra,15,0,0,0
t8urxd66j5smu0rtwu,18,0,1,0
idifvouqrjeqxcoluxrnsvhi,24,0,0,0
7w_/#7s6y=;1yhw/,16,0,1,1
uheaorhgbjkz,12,0,0,0
mi1xsd0mqvp,11,0,1,0
cstemdqmafyggehvbl,18,0,0,0
7>eHB<70{kt^^;AAw,17,1,1,1
o4ci9en1i9umqenviw5l9,21,0,1,0
fX3M8f5a3UM90q,14,1,1,0
T4EeyByH5C2KwVOts5,18,1,1,0
b.[_8Z>E@KUTYYKN,16,1,1,1
T2bH3QzlXx6EXxqtGjY,19,1,1,0
dnzxifpznpcrmx,14,0,0,0
gduUGGMmwNf2ZJJJ,16,1,1,0
v-IhWC]:kwVA,12,1,0,1
YuQE.CMNUB>,11,1,0,1
FzKHXcHnWjsq,12,1,0,0
CDuPLRVr6UXC7m9EoEhi,20,1,1,0
6t^{kE)g)3Ip#R_#9X8E+n:,23,1,1,1
u+a];+.0o,9,0,1,1
j7j0l1hnzy6otddt3ytv,20,0,1,0
DwEWZ389uQUEAuUebAq,19,1,1,0
mo48ntvy,8,0,1,0
2q70og6buil2t13u3uvd57vc,24,0,1,0
oy;*d&c(,8,0,0,1
djmepixwpejpjzfueyzuns,22,0,0,0
",y;c+_c:i/y<:f|wn_|sc>",22,0,0,1
6MW79GGA,8,1,1,0
nOaRR9HW3eJQsGu,15,1,1,0
q-m#t_[^=$9tx,13,0,1,1
r4znglm8,8,0,1,0
nvvjdyrcatgrnggygffchlsk,24,0,0,0
t)&hb.h+rze[{<o,15,0,0,1
"b^0#l:&,4mm*x7q",15,0,1,1
Yg$C?iIE,8,1,0,1
|wlqArSgeQR!RzWi]j(.^],22,1,0,1
y6vipul499tp1veh,16,0,1,0
vw8ubktr,8,0,1,0
CJaJoABnWVlICsyI,16,1,0,0
UylTDLZwLnagEA,14,1,0,0
bprkghleghgvgnrgmcbv,20,0,0,0
az03yiuak,9,0,1,0
ynoblnnfnxol,12,0,0,0
2hoNtRYoN98Waupc,16,1,1,0
hlZFgvhC,8,1,0,0
//S*mO?v8IEf^h7Ibz,18,1,1,1
_{Fw?[u*U*_P)x?q.,17,1,0,1
%5_ThRc=>#j,11,1,1,1
GQShV.<[eT]fhXkT,16,1,0,1
oo24uimc,8,0,1,0
BaDLLVldIj,10,1,1,0
BFX6RBDAKsTgPxHxQ8r,19,1,1,0
IshwKlCeuuqwuJyorEu,19,1,0,0
1v0bHEopNTo[}!Mo63q2V5,22,1,1,1
lxjresffho,10,0,0,0
olhxjrovrxhytegouv,18,0,0,0
bu+f[/xv!sij<=gm[i]*da$,23,0,0,1
"]h&wlgqj,w|ia?d$j",17,0,0,1
pqa0c19j7ekblmuxpv,18,0,1,0
[uYt{sU)_k}xni_ws]jaUh,22,1,0,1
3tRXL60gllwMqa4Viyh3j,21,1,1,0
yhi3mx9zxd7tmg,14,0,1,0
uj_>?2o_>)_pqz3.<*#d;,21,0,1,1
gF@^]/%;nlid]L,14,1,0,1
spflazunwl,10,0,0,0
fX5XMNfLi,9,1,1,0
fujpdyxqsnfdsubt,16,0,0,0
huCYj:F<y}peYHpi(e*=,20,1,0,1
}#%&x;>hm<lzn=qok,17,0,0,1
gHNyQkIiXAxerNP,15,1,0,0
h5lgwidalhd,11,0,1,0
4nyp73wsurlx,12,0,1,0
$v|XJy<&ckA^SRm:MlDQp,21,1,1,1
0g0kv@RVG6+^!,13,1,1,1
{jfz+w#!>j{Rh]fCZ:Q,19,1,0,1
T9bztwvZ9uEm1ztIk,17,1,1,0
.ly1nD#tx,9,1,1,1
tsgentixqvelqreufft,19,0,0,0
;izwk}m|<p|.z=:>?{b,19,0,0,1
J01PQ0XM,8,1,1,0
"0_mqE}*c+H6YYV;M9.,E^s:",23,1,1,1
Bt9TaNqLw08LHb,14,1,1,0
=le-[*r@=t$,11,0,0,1
#t$F0.+e,8,1,1,1
sCRBCBOAMTH,11,1,0,0
hakxuvnqak,10,0,0,0
gvtr3kqxpftix,13,0,1,0
Qcjclze(>AK,11,1,1,1
ewRVIoksHJytAZU,15,1,0,0
X58oE8awbP41RiEf,16,1,1,0
LVJA6dzvy7X,11,1,1,0
bvse6jn8erxah4fmyz,18,0,1,0
4nsd0nkgo00,11,0,1,0
<p8!mxx|n:s,11,0,1,1
lqqZ5ScMH8H4vk37,16,1,1,0
rvTHQxbCZsvbqoncPVNiH,21,1,0,0
kghdcrucPLUmQus,15,1,0,0
uetvqasbzqoyoiowoam,19,0,0,0
b]pch?mjz{j/s./o&]},19,0,0,1
alq:-hm&*,9,0,0,1
04wTj4oQJnXx1ec,15,1,1,0
AIFaJaOjn23Gz3935u,18,1,1,0
"m,d<ppl!{{y",11,0,0,1
JmdTZOcBYimoW,13,1,0,0
am=a(ac^*|/%>f!bu*),19,0,0,1
pjxhfoklrczd,12,0,0,0
e7ZA5Wl0l1r1LpBvJ,17,1,1,0
SsLi52QYmY4HqvRQf,17,1,1,0
_f6=u80:bst3=bwyu,17,0,1,1
"_.l,y_b$!88>",12,0,1,1
